part_ID,First.Signs.of.Understanding_Respond.when.his.or.her.name.is.called...e.g..by.looking.and.turning.at.the.speaker.,First.Signs.of.Understanding_Respond.to..no...by.stopping.what.she.or.he.is.doing..at.least.for.a.moment.,First.Signs.of.Understanding_React.to..there.is.Mummy.Daddy.by.looking.round.for.them,Thing.children.understand_Are.you.hungry.,Thing.children.understand_Are.you.tired.sleepy.,Thing.children.understand_Be.careful,Thing.children.understand_Be.quiet,Thing.children.understand_Clap.your.hands,Thing.children.understand_Change.nappy,Thing.children.understand_Come.here.come.on,Thing.children.understand_Don.t.touch,Thing.children.understand_Get.up,Thing.children.understand_Give.it.to.Mummy.Daddy,Thing.children.understand_Give.me.a.hug,Thing.children.understand_Give.me.a.kiss,Thing.children.understand_Go.and.get__,Thing.children.understand_Good.girl..good.boy,Thing.children.understand_Open.your.mouth,Thing.children.understand_Sit.down,Thing.children.understand_Spit.it.out,Thing.children.understand_Stop.it,Thing.children.understand_Time.to.go.night.night,Thing.children.understand_Throw.the.ball,Thing.children.understand_This.little.piggy,Thing.children.understand_Daddy.Mummy.s.home,Thing.children.understand_Do.you.want.more.,Thing.children.understand_Don.t.do.that,Thing.children.understand_Hold.still,Thing.children.understand_Let.s.go.bye.bye,Thing.children.understand_Look..look.here,Thing.children.understand_Want.to.go.for.a.ride.,First.Communicative.Gestures_Extends.arm.to.show.you.something.he.she.is.holding.,First.Communicative.Gestures_Reaches.out.and.gives.you.a.toy.or.some.object.that.he.she.is.holding.,First.Communicative.Gestures_When.you.look.point.at.toy.across.the.room.does.your.child.look.at.it.,First.Communicative.Gestures_Points..with.arm.and.index.finger.extended..at.some.interesting.object.or.event.,First.Communicative.Gestures_Extends.his.her.arm.upward.to.signal.a.wish.to.be.picked.up.,First.Communicative.Gestures_Shakes.head..no..,First.Communicative.Gestures_Nods.head..yes..,First.Communicative.Gestures_Gestures..hush..by.placing.finger.to.lips.,First.Communicative.Gestures_Requests.something.by.extending.arm.and.opening.and.closing.hand.,First.Communicative.Gestures_Blows.kisses.from.a.distance.,First.Communicative.Gestures_Shrugs.to.indicate..all.gone..or..where.did.it.go..,Games.and.Routines_Play..peekaboo....peepo.,Games.and.Routines_Play..patty.cake....pat.a.cake..,Games.and.Routines_Play.chasing.games.,Games.and.Routines_Sings.,Games.and.Routines_Dances.,Games.and.Routines_Claps.hands.,Games.and.Routines_Plays..high.five....gimme.five.,Actions.with.Objects_Eat.with.a.spoon.or.fork..holding.or.helping.to.hold.the.spoon.or.fork.,Actions.with.Objects_Drink.from.an.open.cup.containing.liquid,Actions.with.Objects_Comb.or.brush.own.hair.,Actions.with.Objects_Brush.teeth.,Actions.with.Objects_Wipe.face.or.hands.with.a.towel.or.cloth.,Actions.with.Objects_Put.on.hat,Actions.with.Objects_Put.on.a.shoe.or.sock.,Actions.with.Objects_Put.on.a.necklace...bracelet..or.watch.,Actions.with.Objects_Lay.head.on.hands.and.squeeze.eyes.shut.as.if.sleeping.,Actions.with.Objects_Blow.to.indicate.something.is.hot.,Actions.with.Objects_Hold.plane.and.make.it..fly..,Actions.with.Objects_Put.telephone.to.ear.,Actions.with.Objects_Sniff.flowers.,Actions.with.Objects_Push.toy.car.or.truck.,Actions.with.Objects_Throw.a.ball.,Actions.with.Objects_Pour.pretend.liquid.from.one.container.to.another.,Actions.with.Objects_Stir.pretend.liquid.in.a.cup.or.pan.with.a.spoon.,Actions.with.Objects_Pretend.to..drink..from.a.cup.or.other.object.,Pretending.to.be.a.Parent._Put.to.bed.,Pretending.to.be.a.Parent._Cover.with.blanket.,Pretending.to.be.a.Parent._Feed.with.bottle.or.at.the.breast.,Pretending.to.be.a.Parent._Feed.with.spoon.,Pretending.to.be.a.Parent._Brush.comb.its.hair.,Pretending.to.be.a.Parent._Push.in.pram.buggy.,Pretending.to.be.a.Parent._Rock.it.,Pretending.to.be.a.Parent._Kiss.or.hug.it.,Pretending.to.be.a.Parent._Try.to.put.a.shoe..sock.or.hat.on.it.,Pretending.to.be.a.Parent._Wipe.its.face.or.hands.,Pretending.to.be.a.Parent._Talk.to.it.,Pretending.to.be.a.Parent._Try.to.put.a.nappy.on.it.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Sweep.with.broom.or.mop.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Put.key.in.door.or.lock.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Bang.with.hammer.or.mallet.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Attempt.to.use.saw.,Imitating.Other.Adult.Actions..Using.real.or.toys.._.Type..at.a.typewriter.or.computer.keyboard.,Imitating.Other.Adult.Actions..Using.real.or.toys.._.Read...opens.book..turns.page..,Imitating.Other.Adult.Actions..Using.real.or.toys.._Hoover.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Water.plants.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Play.musical.instrument..e.g..piano..trumpet..,Imitating.Other.Adult.Actions..Using.real.or.toys.._.Drive..car.by.turning.steering.wheel.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Washing.up..Wash.dishes.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Clean.with.cloth.or.duster.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Write.with.a.pen..pencil..or.marker.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Dig.with.a.spade.,Imitating.Other.Adult.Actions..Using.real.or.toys.._Put.on.glasses.,day_of_completion,questionnaire_number
P_0130,Yes,Yes,Yes,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,0,1
P_0130,Yes,Yes,Yes,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Often,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,86,2
P_0130,Yes,Yes,Yes,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,169,3
P_0137,Yes,Yes,Yes,Understands,Understands,Understands,,Understands,Understands,Understands,,,Understands,Understands,Understands,Understands,,,Understands,,Understands,Understands,Understands,,Understands,,Understands,,Understands,Understands,,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,0,1
P_0137,Yes,Yes,Yes,Understands,Understands,Understands,,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,,Understands,Understands,Understands,,Understands,Understands,Understands,Understands,Understands,Understands,,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,88,2
P_0137,Yes,Yes,Yes,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,,Understands,Understands,Understands,Understands,Understands,Understands,,,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,170,3
P_0141,Yes,Yes,Yes,Understands,Understands,Understands,Understands,Understands,Understands,Understands,,,Understands,Understands,Understands,Understands,Understands,Understands,Understands,,,Understands,Understands,Understands,Understands,Understands,Understands,,Understands,Understands,,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,76,1
P_0141,Yes,Yes,Yes,Understands,,Understands,Understands,Understands,Understands,Understands,,,Understands,Understands,Understands,,Understands,,,,Understands,Understands,Understands,Understands,Understands,Understands,,,Understands,Understands,,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,158,2
P_0146,Yes,Yes,Yes,Understands,,,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,,,,Understands,Understands,Understands,Understands,Understands,,Understands,Understands,Understands,Understands,Often,Often,Sometimes,Sometimes,Often,Not Yet,Not Yet,Sometimes,Often,Often,Not Yet,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,1
P_0146,Yes,Yes,,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Often,Often,Often,Often,Often,Not Yet,Not Yet,Sometimes,Often,Sometimes,Sometimes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,99,2
