"file_name","part_code","day_of_recording","recording_number","topic","file_name_csv","duration_original","vocab_size","age","order"
"P_0318_21_2_NAPPY_","P_0318",64,2,"NAPPY","P_0318_21_2_NAPPY_.csv",935,40,21.43608627,1
"P_0174_21_1_BED__","P_0174",145,1,"BED","P_0174_21_1_BED__.csv",1694,66,21.27169911,2
"P_0174_25_9_NAPPY__BED","P_0174",172,9,"NAPPY","P_0174_25_9_NAPPY__BED.csv",1202,257,25.24986849,3
"P_0174_25_10_BATH__","P_0174",174,10,"BATH","P_0174_25_10_BATH__.csv",1502,257,25.24986849,4
"P_0174_25_11_MEAL__","P_0174",396,11,"MEAL","P_0174_25_11_MEAL__.csv",1556,257,25.24986849,5
"P_0174_25_12_PLAY__","P_0174",431,12,"PLAY","P_0174_25_12_PLAY__.csv",1998,257,25.24986849,6
"P_0233_19_1_PLAY__","P_0233",144,1,"PLAY","P_0233_19_1_PLAY__.csv",1226,2,19.82509206,7
"P_0233_21_3_NAPPY__","P_0233",58,3,"NAPPY","P_0233_21_3_NAPPY__.csv",1397,20,21.73198317,8
"P_0233_23_5_MEAL__","P_0233",100,5,"MEAL","P_0233_23_5_MEAL__.csv",1679,41,23.01420305,9
"P_0233_25_9_BED_","P_0233",160,9,"BED","P_0233_25_9_BED_.csv",1695,128,25.08548133,10
"P_0233_25_10_BATH__","P_0233",164,10,"BATH","P_0233_25_10_BATH__.csv",1548,133,25.18411362,11
"P_0318_20_1_MEAL__","P_0318",25,1,"MEAL","P_0318_20_1_MEAL__.csv",1573,31,20.81141504,12
"P_0318_22_4_BATH_","P_0318",75,4,"BATH","P_0318_22_4_BATH_.csv",1058,52,22.42240926,13
"P_0318_23_5_PLAY__","P_0318",95,5,"PLAY","P_0318_23_5_PLAY__.csv",1338,66,23.14571278,14
"P_0359_19_4_PLAY__","P_0359",169,4,"PLAY","P_0359_19_4_PLAY__.csv",486,19,19.10178853,420
"P_0418_24_7_BATH__","P_0418",159,7,"BATH","P_0418_24_7_BATH__.csv",611,121,24.5594424,15
"P_0427_18_3_MEAL__","P_0427",69,3,"MEAL","P_0427_18_3_MEAL__.csv",1374,18,18.90452393,16
"P_0348_28_6_MEAL__","P_0348",173,6,"MEAL","P_0348_28_6_MEAL__.csv",430,110,28.04445029,17
"P_0235_18_5_NAPPY__","P_0235",55,5,"NAPPY","P_0235_18_5_NAPPY__.csv",602,17,18.04971068,18
"P_0300_21_1_MEAL__","P_0300",149,1,"MEAL","P_0300_21_1_MEAL__.csv",248,12,21.3703314,19
"P_0248_22_4_PLAY__","P_0248",58,4,"PLAY","P_0248_22_4_PLAY__.csv",1155,162,22.75118359,20
"P_0159_29_7_BED__","P_0159",14,7,"BED","P_0159_29_7_BED__.csv",1392,62,29.32667017,21
"P_0159_28_3_PLAY__","P_0159",106,3,"PLAY","P_0159_28_3_PLAY__.csv",1551,60,28.47185692,22
"P_0243_18_2_NAPPY__","P_0243",48,2,"NAPPY","P_0243_18_2_NAPPY__.csv",420,88,18.44423987,23
"P_0394_19_1_MEAL__","P_0394",38,1,"MEAL","P_0394_19_1_MEAL__.csv",1405,5,19.29905313,24
"P_0220_21_4_MEAL__","P_0220",123,4,"MEAL","P_0220_21_4_MEAL__.csv",1590,215,21.9621252,25
"P_0259_18_2_MEAL__","P_0259",170,2,"MEAL","P_0259_18_2_MEAL__.csv",13,61,18.47711731,26
"P_0130_21_6_PLAY__","P_0130",6,6,"PLAY","P_0130_21_6_PLAY__.csv",146,107,21.63335087,27
"P_0141_23_2_BATH__","P_0141",8,2,"BATH","P_0141_23_2_BATH__.csv",2252,25,23.96764861,28
"P_0408_19_5_BATH__","P_0408",162,5,"BATH","P_0408_19_5_BATH__.csv",1438,44,19.59495003,29
"P_0163_23_3_PLAY__","P_0163",75,3,"PLAY","P_0163_23_3_PLAY__.csv",1559,290,23.57311941,30
"P_0329_20_1_MEAL__","P_0329",44,1,"MEAL","P_0329_20_1_MEAL__.csv",675,17,20.48264072,31
"P_0183_23_5_PLAY__","P_0183",32,5,"PLAY","P_0183_23_5_PLAY__.csv",1842,181,23.70462914,32
"P_0229_18_1_PLAY__","P_0229",164,1,"PLAY","P_0229_18_1_PLAY__.csv",1693,56,18.9702788,33
"P_0296_22_3_BED__","P_0296",65,3,"BED","P_0296_22_3_BED__.csv",472,218,22.75118359,34
"P_0163_25_4_NAPPY__","P_0163",63,4,"NAPPY","P_0163_25_4_NAPPY__.csv",1249,295,25.01972646,35
"P_0505_18_8_NAPPY__","P_0505",53,8,"NAPPY","P_0505_18_8_NAPPY__.csv",1436,60,18.18122041,36
"P_0182_18_4_NAPPY__","P_0182",58,4,"NAPPY","P_0182_18_4_NAPPY__.csv",755,119,18.18122041,37
"P_0146_28_4_MEAL__","P_0146",67,4,"MEAL","P_0146_28_4_MEAL__.csv",361,40,28.04445029,38
"P_0346_21_5_MEAL__","P_0346",135,5,"MEAL","P_0346_21_5_MEAL__.csv",1003,89,21.6662283,39
"P_0394_21_5_PLAY__","P_0394",81,5,"PLAY","P_0394_21_5_PLAY__.csv",1958,50,21.79773803,40
"P_0204_20_2_MEAL__","P_0204",142,2,"MEAL","P_0204_20_2_MEAL__.csv",2459,20,20.81141504,41
"P_0298_27_6_BED__","P_0298",109,6,"BED","P_0298_27_6_BED__.csv",1331,281,27.64992109,42
"P_0266_21_2_BED__BATH","P_0266",54,2,"BED","P_0266_21_2_BED__BATH.csv",1377,18,21.89637033,43
"P_0437_16_4_PLAY__","P_0437",34,4,"PLAY","P_0437_16_4_PLAY__.csv",2019,16,16.01130984,44
"P_0387_22_7_BED__","P_0387",72,7,"BED","P_0387_22_7_BED__.csv",1760,72,22.12651236,45
"P_0418_23_5_NAPPY__","P_0418",151,5,"NAPPY","P_0418_23_5_NAPPY__.csv",489,99,23.50736454,46
"P_0480_21_8_NAPPY__","P_0480",130,8,"NAPPY","P_0480_21_8_NAPPY__.csv",1161,175,21.69910573,47
"P_0204_23_6_NAPPY__","P_0204",85,6,"NAPPY","P_0204_23_6_NAPPY__.csv",1948,81,23.11283535,48
"P_0505_13_1_MEAL__","P_0505",25,1,"MEAL","P_0505_13_1_MEAL__.csv",1560,15,13.84139926,49
"P_0220_18_1_PLAY__","P_0220",13,1,"PLAY","P_0220_18_1_PLAY__.csv",1816,112,18.74013677,50
"P_0296_22_2_MEAL__","P_0296",32,2,"MEAL","P_0296_22_2_MEAL__.csv",1176,207,22.29089953,51
"P_0235_18_6_BATH__","P_0235",84,6,"BATH","P_0235_18_6_BATH__.csv",1545,18,18.47711731,52
"P_0300_22_6_BATH__","P_0300",78,6,"BATH","P_0300_22_6_BATH__.csv",693,22,22.88269332,53
"P_0458_17_6_BATH__","P_0458",25,6,"BATH","P_0458_17_6_BATH__.csv",1817,91,17.75381378,54
"P_0204_21_4_PLAY__","P_0204",44,4,"PLAY","P_0204_21_4_PLAY__.csv",1682,39,21.73198317,55
"P_0296_22_4_BED__","P_0296",45,4,"BED","P_0296_22_4_BED__.csv",437,218,22.75118359,56
"P_0182_17_1_PLAY__","P_0182",31,1,"PLAY","P_0182_17_1_PLAY__.csv",802,32,17.03051026,57
