"part_ID","age_start","age_end","wordsProd_start","wordsProd_end","wordsProd_growth","wordsCompr_start","wordsCompr_end","wordsCompr_growth","timePoints","CDI_type","wordsProd_start_WG","percentile_START","percentile_END","LT_START_20","LT_END_20","type_talker","gender"
"P_0524",20.8114150447133,26.4005786428196,23,263,240,92,542,450,14,"W&S",NA,5,30,1,0,"LB","F"
"P_0516",13.381115202525,19.0031562335613,15,383,368,154,881,727,53,"W&G",13,60,90,0,0,"TT","F"
"P_0505",13.0194634402946,18.5099947396107,6,61,55,68,382,314,22,"W&G",6,45,30,0,0,"TT","M"
"P_0502",16.6688584955287,22.3895318253551,15,167,152,14,268,254,49,"W&S",NA,10,40,1,0,"LB","F"
"P_0498",15.6825355076276,21.3374539715939,19,226,207,46,345,299,33,"W&S",NA,15,60,1,0,"LB","F"
"P_0489",15.5510257759074,21.1073119410836,2,32,30,103,430,327,15,"W&S",NA,5,5,1,1,"LT","F"
"P_0488",28.0444502893214,33.5349815886376,34,127,93,103,270,167,13,"W&S",NA,5,5,1,1,"LT","M"
"P_0480",16.931877958969,22.4224092582851,16,306,290,50,638,588,13,"W&S",NA,10,65,1,0,"LB","M"
"P_0471",24.6580746975276,29.7211993687533,42,303,261,111,567,456,7,"W&S",NA,5,10,1,1,"LT","M"
"P_0463",13.9729089952656,19.7264597580221,8,382,374,75,832,757,68,"W&G",8,40,90,0,0,"TT","F"
"P_0458",15.0578642819569,20.515518148343,2,216,214,20,309,289,51,"W&G",1,5,55,1,0,"LB","F"
"P_0449",16.109942135718,21.8306154655445,7,136,129,47,283,236,59,"W&S",NA,5,30,1,0,"LB","M"
"P_0440",18.0497106785902,23.4416096791163,7,21,14,73,266,193,11,"W&S",NA,5,5,1,1,"LT","F"
"P_0437",15.2880063124671,20.0223566543924,4,68,64,10,263,253,9,"W&G",3,10,25,1,0,"LB","M"
"P_0436",16.2743293003682,21.9950026301946,55,382,327,116,674,558,15,"W&S",NA,50,80,0,0,"TT","M"
"P_0427",15.8469226722777,21.7319831667543,6,35,29,22,313,291,12,"W&S",NA,5,5,1,1,"LT","M"
"P_0418",18.8058916359811,24.5594423987375,7,121,114,69,270,201,14,"W&S",NA,5,10,1,1,"LT","M"
"P_0408",16.3072067332983,22.5867964229353,12,130,118,185,722,537,47,"W&S",NA,10,25,1,0,"LB","F"
"P_0404",15.6167806417675,21.5018411362441,47,311,264,82,562,480,48,"W&S",NA,45,65,0,0,"TT","F"
"P_0394",19.3648079957917,24.6251972645976,32,136,104,128,325,197,14,"W&S",NA,15,15,1,1,"LT","F"
"P_0387",16.5702261967386,22.4224092582851,4,89,85,12,223,211,56,"W&S",NA,5,20,1,1,"LT","F"
"P_0376",13.381115202525,19.2332982640715,10,161,151,20,349,329,47,"W&G",9,50,60,0,0,"TT","F"
"P_0369",22.323776959495,27.8471856917412,19,368,349,34,640,606,39,"W&S",NA,5,30,1,0,"LB","M"
"P_0359",17.6880589163598,23.4416096791163,15,30,15,265,435,170,10,"W&S",NA,5,5,1,1,"LT","M"
"P_0348",22.2580220936349,28.0444502893214,15,110,95,76,390,314,12,"W&S",NA,5,5,1,1,"LT","M"
"P_0346",17.2277748553393,23.0799579168858,5,131,126,25,310,285,33,"W&S",NA,5,25,1,0,"LB","M"
"P_0345",18.3127301420305,23.6388742766965,62,366,304,157,696,539,29,"W&S",NA,35,60,0,0,"TT","M"
"P_0339",21.5675960021042,26.9923724355602,38,236,198,77,436,359,32,"W&S",NA,5,20,1,1,"LT","M"
"P_0329",19.0031562335613,22.9484481851657,8,41,33,33,259,226,7,"W&S",NA,5,5,1,1,"LT","M"
"P_0324",15.1236191478169,20.9429247764335,25,297,272,179,653,474,43,"W&G",24,50,70,0,0,"TT","M"
"P_0318",19.9894792214624,25.8416622830089,18,133,115,51,373,322,52,"W&S",NA,5,10,1,1,"LT","M"
"P_0310",13.9400315623356,19.660704892162,6,68,62,60,468,408,16,"W&G",5,30,25,0,0,"TT","M"
"P_0300",20.4497632824829,26.0060494476591,7,152,145,146,443,297,15,"W&S",NA,5,10,1,1,"LT","M"
"P_0298",23.4087322461862,28.3732246186218,165,324,159,446,660,214,20,"W&S",NA,30,25,0,0,"TT","M"
"P_0296",21.2716991057338,27.0910047343503,108,364,256,142,505,363,39,"W&S",NA,30,35,0,0,"TT","F"
"P_0286",20.0552340873225,23.5073645449763,66,233,167,155,406,251,18,"W&S",NA,25,35,0,0,"TT","M"
"P_0280",24.0334034718569,29.3595476065229,73,172,99,129,322,193,29,"W&S",NA,5,5,1,1,"LT","M"
"P_0277",14.8934771173067,20.4497632824829,62,322,260,118,512,394,19,"W&G",54,75,85,0,0,"TT","F"
"P_0271",16.2085744345082,21.8634928984745,9,355,346,82,903,821,29,"W&S",NA,5,75,1,0,"LB","M"
"P_0266",20.9100473435034,27.1896370331405,11,288,277,60,583,523,80,"W&S",NA,5,25,1,0,"LB","M"
"P_0259",17.81956864808,23.5731194108364,24,301,277,102,548,446,4,"W&S",NA,10,50,1,0,"LB","F"
"P_0248",17.85244608101,23.5402419779064,4,205,201,70,518,448,28,"W&S",NA,5,30,1,0,"LB","F"
"P_0243",15.9784324039979,21.6662283008943,15,262,247,55,541,486,15,"W&S",NA,15,60,1,0,"LB","F"
"P_0235",15.6825355076276,20.1538663861126,4,30,26,11,169,158,22,"W&S",NA,5,10,1,1,"LT","M"
